M/Z,Intensity
13.862161,5.8653026
13.940775,5.8482523
14.019612,5.8653026
14.09867,5.8653026
14.177951,5.8653026
14.257454,5.8482523
14.33718,5.831202
14.417127,5.7459506
14.497297,5.6606991
14.57769,5.541347
14.658304,5.4731458
14.739141,5.4731458
14.8202,5.5072464
14.901482,5.5924979
14.982985,5.6095482
15.064711,5.6095482
15.14666,5.6947997
15.22883,5.7800512
15.311223,5.8653026
15.393838,5.8823529
15.476676,5.8823529
15.559735,5.8823529
15.643017,5.8823529
15.726522,5.8823529
15.810248,5.8823529
15.894197,5.8823529
15.978368,5.8823529
16.062762,5.8823529
16.147377,5.8823529
16.232215,5.8823529
16.317276,5.8823529
16.402558,5.8653026
16.488063,5.8653026
16.57379,5.8482523
16.65974,5.8141517
16.745911,5.7800512
16.832305,5.7289003
16.918921,5.6436488
17.00576,5.541347
17.092821,5.5072464
17.180104,5.5242967
17.267609,5.5583973
17.355337,5.5924979
17.443287,5.6265985
17.531459,5.71185
17.619854,5.7630009
17.708471,5.831202
17.79731,5.8482523
17.886371,5.8823529
17.975655,5.8823529
18.065161,5.8823529
18.154889,5.8823529
18.24484,5.8823529
18.335013,5.8823529
18.425408,5.8823529
18.516025,5.8823529
18.606865,5.8823529
18.697927,5.8823529
18.789211,5.8823529
18.880717,5.8653026
18.972446,5.8482523
19.064397,5.831202
19.156571,5.7971014
19.248966,5.8141517
19.341584,5.7971014
19.434425,5.7800512
19.527487,5.831202
19.620772,5.831202
19.714279,5.8482523
19.808008,5.8823529
19.90196,5.8823529
19.996134,5.8823529
20.09053,5.8823529
20.185149,5.8823529
20.27999,5.8823529
20.375053,5.8823529
20.470338,5.8823529
20.565846,5.8823529
20.661576,5.8823529
20.757528,5.8823529
20.853703,5.8823529
20.950099,5.8823529
21.046718,5.8823529
21.14356,5.8653026
21.240623,5.831202
21.337909,5.7971014
21.435418,5.7971014
21.533148,5.7630009
21.631101,5.7800512
21.729276,5.7459506
21.827673,5.7459506
21.926293,5.7971014
22.025135,5.8141517
22.124199,5.8482523
22.223486,5.8653026
22.322995,5.8653026
22.422726,5.8653026
22.522679,5.8823529
22.622855,5.8823529
22.723253,5.8823529
22.823873,5.8823529
22.924715,5.8823529
23.02578,5.8823529
23.127067,5.8823529
23.228577,5.8823529
23.330308,5.8823529
23.432262,5.8823529
23.534438,5.8823529
23.636837,5.8653026
23.739458,5.8653026
23.842301,5.8653026
23.945366,5.831202
24.048654,5.8141517
24.152164,5.7971014
24.255896,5.7459506
24.35985,5.71185
24.464027,5.6606991
24.568426,5.6095482
24.673047,5.6095482
24.777891,5.7289003
24.882957,5.7800512
24.988245,5.7971014
25.093756,5.831202
25.199489,5.8482523
25.305444,5.8823529
25.411621,5.8823529
25.518021,5.8823529
25.624642,5.8823529
25.731487,5.8823529
25.838553,5.8823529
25.945842,5.8823529
26.053353,5.8823529
26.161086,5.8823529
26.269042,5.8823529
26.37722,5.8823529
26.48562,5.8823529
26.594243,5.8823529
26.703087,5.8482523
26.812154,5.831202
26.921444,5.831202
27.030955,5.831202
27.140689,5.7971014
27.250645,5.7971014
27.360824,5.8141517
27.471225,5.831202
27.581848,5.831202
27.692693,5.8141517
27.803761,5.8653026
27.91505,5.8823529
28.026563,5.8823529
28.138297,5.8823529
28.250254,5.8823529
28.362433,5.8823529
28.474834,5.8823529
28.587458,5.8823529
28.700304,5.8823529
28.813372,5.8823529
28.926662,5.8823529
29.040175,5.8823529
29.15391,5.8823529
29.267867,5.8823529
29.382047,5.8653026
29.496449,5.8653026
29.611073,5.8482523
29.72592,5.8141517
29.840988,5.7971014
29.956279,5.7459506
30.071793,5.7800512
30.187528,5.7971014
30.303486,5.8141517
30.419666,5.8141517
30.536069,5.8653026
30.652694,5.8653026
30.769541,5.8482523
30.88661,5.8653026
31.003901,5.8823529
31.121415,5.8823529
31.239151,5.8823529
31.35711,5.8823529
31.475291,5.8823529
31.593694,5.8823529
31.712319,5.8823529
31.831167,5.8823529
31.950236,5.8823529
32.069529,5.8653026
32.189043,5.8653026
32.30878,5.8823529
32.428739,5.8823529
32.54892,5.8653026
32.669324,5.8653026
32.78995,5.8823529
32.910798,5.8823529
33.031868,5.8653026
33.153161,5.8653026
33.274676,5.8653026
33.396413,5.8653026
33.518373,5.8823529
33.640555,5.8823529
33.762959,5.8823529
33.885585,5.8653026
34.008434,5.8653026
34.131505,5.8653026
34.254798,5.8823529
34.378314,5.8823529
34.502052,5.8823529
34.626012,5.8823529
34.750194,5.8823529
34.874599,5.8823529
34.999226,5.8823529
35.124075,5.8823529
35.249147,5.8823529
35.374441,5.8823529
35.499957,5.8823529
35.625695,5.8823529
35.751656,5.8823529
35.877839,5.8653026
36.004244,5.8653026
36.130872,5.8823529
36.257721,5.8653026
36.384794,5.8482523
36.512088,5.831202
