M/Z,Intensity
47.270767,5.8509804
47.415845,5.8588235
47.561144,5.8627451
47.706666,5.8745098
47.85241,5.8745098
47.998376,5.8823529
48.144565,5.8784314
48.290976,5.8745098
48.437609,5.8745098
48.584465,5.8784314
48.731542,5.8745098
48.878842,5.8784314
49.026365,5.8823529
49.174109,5.8823529
49.322076,5.8823529
49.470265,5.8823529
49.618677,5.8784314
49.767311,5.8784314
49.916167,5.8823529
50.065245,5.8823529
50.214546,5.8784314
50.364069,5.8705882
50.513814,5.8705882
50.663781,5.8666667
50.813971,5.8666667
50.964383,5.8627451
51.115017,5.8666667
51.265874,5.8705882
51.416953,5.8745098
51.568254,5.8745098
51.719778,5.8705882
51.871523,5.8745098
52.023491,5.8784314
52.175682,5.8823529
52.328094,5.8823529
52.480729,5.8823529
52.633587,5.8823529
52.786666,5.8823529
52.939968,5.8823529
53.093492,5.8784314
53.247238,5.8784314
53.401207,5.8784314
53.555398,5.8745098
53.709811,5.8705882
53.864446,5.8745098
54.019304,5.8745098
54.174384,5.8784314
54.329686,5.8823529
54.485211,5.8705882
54.640958,5.8666667
54.796927,5.8666667
54.953119,5.8705882
55.109532,5.8666667
55.266168,5.8705882
55.423027,5.8705882
55.580107,5.8784314
55.73741,5.8784314
55.894935,5.8823529
56.052683,5.8823529
56.210652,5.8823529
56.368844,5.8823529
56.527259,5.8784314
56.685895,5.8823529
56.844754,5.8784314
57.003835,5.8784314
57.163139,5.8784314
57.322665,5.8784314
57.482413,5.8784314
57.642383,5.8784314
57.802576,5.8745098
57.96299,5.8745098
58.123628,5.8745098
58.284487,5.8980392
58.445569,5.8862745
58.606873,5.8666667
58.768399,5.8627451
58.930148,5.854902
59.092119,5.8588235
59.254312,5.854902
59.416727,5.8588235
59.579365,5.8784314
59.742225,5.8784314
59.905307,5.8745098
60.068612,5.8705882
60.232139,5.8666667
60.395888,5.8666667
60.559859,5.8666667
60.724053,5.8705882
60.888469,5.8784314
61.053107,5.8784314
61.217968,5.8784314
61.383051,5.8705882
61.548356,5.8745098
61.713883,5.8705882
61.879633,5.8745098
62.045605,5.8745098
62.211799,5.8666667
62.378216,5.8666667
62.544855,5.8666667
62.711716,5.8666667
62.878799,5.8588235
63.046105,5.8745098
63.213633,5.8705882
63.381383,5.8745098
63.549356,5.8784314
63.717551,5.8745098
63.885968,5.8627451
64.054607,5.8627451
64.223469,5.8627451
64.392553,5.8745098
64.561859,5.8784314
64.731388,5.8784314
64.901138,5.8784314
65.071112,5.8784314
65.241307,5.8745098
65.411725,5.8823529
65.582365,5.8823529
65.753227,5.8823529
65.924312,5.8784314
66.095618,5.8784314
66.267147,5.8823529
66.438899,5.8823529
66.610873,5.8823529
66.783069,5.8784314
66.955487,5.8823529
67.128127,5.8784314
67.30099,5.8784314
67.474075,5.8784314
67.647383,5.8745098
67.820912,5.8784314
67.994664,5.8784314
68.168639,5.8823529
68.342835,5.8784314
68.517254,5.8784314
68.691895,5.8823529
68.866759,5.8823529
69.041844,5.8823529
69.217152,5.8784314
69.392682,5.8784314
69.568435,5.8823529
69.74441,5.8745098
69.920607,5.8823529
70.097026,5.8823529
70.273668,5.8784314
70.450532,5.8784314
70.627618,5.8745098
70.804927,5.8745098
70.982458,5.8745098
71.160211,5.8705882
71.338186,5.8745098
71.516384,5.8705882
71.694804,5.8745098
71.873446,5.8784314
72.05231,5.8705882
72.231397,5.8666667
72.410706,5.8823529
72.590238,5.8823529
72.769991,5.8784314
72.949967,5.8745098
73.130166,5.8823529
73.310586,5.8823529
73.491229,5.8823529
73.672094,5.8784314
73.853181,5.8745098
74.034491,5.8784314
74.216023,5.8745098
74.397777,5.8823529
74.579754,5.8823529
74.761952,5.8823529
74.944374,5.8784314
75.127017,5.8784314
75.309883,5.8745098
75.492971,5.8666667
75.676281,5.8666667
75.859813,5.8705882
76.043568,5.8745098
76.227545,5.8627451
76.411745,5.8627451
76.596166,5.8745098
76.78081,5.8627451
76.965676,5.8588235
77.150765,5.8666667
77.336076,5.8705882
77.521609,5.8784314
77.707364,5.8784314
77.893342,5.8784314
78.079542,5.8823529
78.265964,5.8784314
78.452608,5.8745098
78.639475,5.8784314
78.826564,5.8745098
79.013876,5.8745098
79.201409,5.8745098
79.389165,5.8745098
79.577143,5.8784314
79.765344,5.8784314
79.953767,5.8823529
80.142412,5.8823529
80.331279,5.8823529
80.520369,5.8823529
80.709681,5.8784314
80.899215,5.8823529
81.088971,5.8666667
81.27895,5.8745098
81.469151,5.8784314
81.659574,5.8784314
81.85022,5.8705882
82.041088,5.8784314
82.232178,5.8784314
82.423491,5.8705882
82.615025,5.8705882
82.806783,5.8784314
82.998762,5.8705882
83.190963,5.8666667
83.383387,5.8784314
83.576034,5.8784314
83.768902,5.8823529
83.961993,5.8823529
84.155306,5.8784314
84.348841,5.8784314
84.542599,5.8823529
84.736579,5.8823529
84.930781,5.8784314
