M/Z,Intensity
27.803761,5.8588235
27.91505,5.8627451
28.026563,5.8666667
28.138297,5.8784314
28.250254,5.8784314
28.362433,5.8784314
28.474834,5.8823529
28.587458,5.8823529
28.700304,5.8823529
28.813372,5.8823529
28.926662,5.8823529
29.040175,5.8823529
29.15391,5.8823529
29.267867,5.8784314
29.382047,5.8745098
29.496449,5.8745098
29.611073,5.8705882
29.72592,5.8666667
29.840988,5.8588235
29.956279,5.8470588
30.071793,5.8431373
30.187528,5.8352941
30.303486,5.8313725
30.419666,5.8352941
30.536069,5.8627451
30.652694,5.8627451
30.769541,5.8666667
30.88661,5.8705882
31.003901,5.8784314
31.121415,5.8823529
31.239151,5.8823529
31.35711,5.8823529
31.475291,5.8823529
31.593694,5.8823529
31.712319,5.8823529
31.831167,5.8823529
31.950236,5.8823529
32.069529,5.8823529
32.189043,5.8823529
32.30878,5.8784314
32.428739,5.8745098
32.54892,5.8588235
32.669324,5.8627451
32.78995,5.8627451
32.910798,5.8431373
33.031868,5.8431373
33.153161,5.854902
33.274676,5.8470588
33.396413,5.8470588
33.518373,5.8313725
33.640555,5.8431373
33.762959,5.8627451
33.885585,5.8666667
34.008434,5.8784314
34.131505,5.8823529
34.254798,5.8823529
34.378314,5.8823529
34.502052,5.8823529
34.626012,5.8823529
34.750194,5.8823529
34.874599,5.8823529
34.999226,5.8823529
35.124075,5.8745098
35.249147,5.8745098
35.374441,5.8784314
35.499957,5.8784314
35.625695,5.8823529
35.751656,5.8745098
35.877839,5.8588235
36.004244,5.8509804
36.130872,5.8392157
36.257721,5.8431373
36.384794,5.8509804
36.512088,5.8627451
36.639605,5.8705882
36.767344,5.8627451
36.895305,5.8627451
37.023489,5.8588235
37.151894,5.8627451
37.280523,5.8666667
37.409373,5.8784314
37.538446,5.8745098
37.667741,5.8823529
37.797258,5.8823529
37.926997,5.8823529
38.056959,5.8823529
38.187143,5.8823529
38.31755,5.8784314
38.448178,5.8784314
38.579029,5.8823529
38.710103,5.8823529
38.841398,5.8823529
38.972916,5.8823529
39.104656,5.8784314
39.236619,5.8745098
39.368803,5.8666667
39.50121,5.8666667
39.63384,5.8666667
39.766691,5.8666667
39.899765,5.8588235
40.033061,5.854902
40.166579,5.8627451
40.30032,5.8588235
40.434283,5.8705882
40.568468,5.8823529
40.702876,5.8823529
40.837506,5.8823529
40.972358,5.8823529
41.107432,5.8823529
41.242729,5.8823529
41.378248,5.8823529
41.513989,5.8823529
41.649953,5.8823529
41.786138,5.8784314
41.922546,5.8823529
42.059177,5.8823529
42.196029,5.8745098
42.333104,5.8745098
42.470402,5.8745098
42.607921,5.8784314
42.745663,5.8823529
42.883627,5.8784314
43.021813,5.8784314
43.160222,5.8705882
43.298853,5.8666667
43.437706,5.8666667
43.576782,5.8666667
43.71608,5.8666667
43.8556,5.8745098
43.995342,5.8745098
44.135307,5.8784314
44.275494,5.8784314
44.415903,5.8784314
44.556534,5.8823529
44.697388,5.8823529
44.838464,5.8823529
44.979763,5.8745098
45.121283,5.8745098
45.263026,5.8745098
45.404992,5.8823529
45.547179,5.8823529
45.689589,5.8823529
45.832221,5.8784314
45.975075,5.8862745
46.118152,5.8784314
46.261451,5.8705882
46.404972,5.8745098
46.548716,5.8705882
46.692681,5.8666667
46.836869,5.8627451
46.98128,5.972549
47.125912,5.8862745
47.270767,5.8627451
47.415845,5.8784314
47.561144,5.8745098
47.706666,5.8745098
47.85241,5.8705882
47.998376,5.8745098
48.144565,5.8745098
48.290976,5.8784314
48.437609,5.8784314
48.584465,5.8784314
48.731542,5.8823529
48.878842,5.8823529
49.026365,5.8823529
49.174109,5.8705882
49.322076,5.8745098
49.470265,5.8745098
49.618677,5.8823529
49.767311,5.8823529
49.916167,5.8745098
50.065245,5.8784314
50.214546,5.8705882
50.364069,5.8705882
50.513814,5.8666667
50.663781,5.8588235
50.813971,5.854902
50.964383,5.8705882
51.115017,5.8705882
51.265874,5.8705882
51.416953,5.8666667
51.568254,5.8745098
51.719778,5.8784314
51.871523,5.8784314
52.023491,5.8745098
52.175682,5.8705882
52.328094,5.8823529
52.480729,5.8823529
52.633587,5.9176471
52.786666,5.9764706
52.939968,5.8901961
53.093492,5.8823529
53.247238,5.8901961
53.401207,5.8784314
53.555398,5.8745098
53.709811,5.9411765
53.864446,5.8980392
54.019304,5.8784314
54.174384,5.8588235
54.329686,5.8627451
54.485211,5.8627451
54.640958,5.8784314
54.796927,5.8705882
54.953119,5.8705882
55.109532,5.8627451
55.266168,5.8666667
55.423027,5.8705882
55.580107,5.8745098
55.73741,5.8745098
55.894935,5.8784314
56.052683,5.8784314
56.210652,5.8823529
56.368844,5.8627451
56.527259,5.8627451
56.685895,6.0117647
56.844754,5.9215686
