M/Z,Intensity
19.527487,5.7803922
19.620772,5.827451
19.714279,5.8470588
19.808008,5.8666667
19.90196,5.8784314
19.996134,5.8823529
20.09053,5.8823529
20.185149,5.8823529
20.27999,5.8823529
20.375053,5.8823529
20.470338,5.8823529
20.565846,5.8823529
20.661576,5.8784314
20.757528,5.8784314
20.853703,5.8784314
20.950099,5.8705882
21.046718,5.8705882
21.14356,5.8627451
21.240623,5.8431373
21.337909,5.7843137
21.435418,5.772549
21.533148,5.7490196
21.631101,5.7058824
21.729276,5.7137255
21.827673,5.7294118
21.926293,5.7372549
22.025135,5.7686275
22.124199,5.7960784
22.223486,5.8235294
22.322995,5.854902
22.422726,5.8705882
22.522679,5.8823529
22.622855,5.8823529
22.723253,5.8823529
22.823873,5.8823529
22.924715,5.8823529
23.02578,5.8823529
23.127067,5.8823529
23.228577,5.8823529
23.330308,5.8823529
23.432262,5.8745098
23.534438,5.8784314
23.636837,5.8705882
23.739458,5.8470588
23.842301,5.8039216
23.945366,5.7764706
24.048654,5.7764706
24.152164,5.7529412
24.255896,5.7254902
24.35985,5.7215686
24.464027,5.7176471
24.568426,5.7137255
24.673047,5.7137255
24.777891,5.7411765
24.882957,5.7803922
24.988245,5.8392157
25.093756,5.8705882
25.199489,5.8745098
25.305444,5.8784314
25.411621,5.8784314
25.518021,5.8784314
25.624642,5.8823529
25.731487,5.8823529
25.838553,5.8823529
25.945842,5.8823529
26.053353,5.8823529
26.161086,5.8784314
26.269042,5.8784314
26.37722,5.8823529
26.48562,5.8627451
26.594243,5.854902
26.703087,5.8588235
26.812154,5.8431373
26.921444,5.8078431
27.030955,5.8039216
27.140689,5.8
27.250645,5.8
27.360824,5.8117647
27.471225,5.827451
27.581848,5.8392157
27.692693,5.8588235
27.803761,5.8666667
27.91505,5.8666667
28.026563,5.8784314
28.138297,5.8705882
28.250254,5.8823529
28.362433,5.8823529
28.474834,5.8823529
28.587458,5.8823529
28.700304,5.8823529
28.813372,5.8823529
28.926662,5.8823529
29.040175,5.8823529
29.15391,5.8745098
29.267867,5.8705882
29.382047,5.8509804
29.496449,5.8666667
29.611073,5.854902
29.72592,5.8352941
29.840988,5.8235294
29.956279,5.8117647
30.071793,5.8156863
30.187528,5.8235294
30.303486,5.8352941
30.419666,5.8509804
30.536069,5.854902
30.652694,5.8666667
30.769541,5.8745098
30.88661,5.8745098
31.003901,5.8784314
31.121415,5.8784314
31.239151,5.8823529
31.35711,5.8823529
31.475291,5.8784314
31.593694,5.8784314
31.712319,5.8745098
31.831167,5.8823529
31.950236,5.8823529
32.069529,5.8823529
32.189043,5.8745098
32.30878,5.8823529
32.428739,5.8784314
32.54892,5.854902
32.669324,5.8470588
32.78995,5.8235294
32.910798,5.8235294
33.031868,5.8235294
33.153161,5.827451
33.274676,5.8392157
33.396413,5.827451
33.518373,5.827451
33.640555,5.827451
33.762959,5.854902
33.885585,5.8705882
34.008434,5.8784314
34.131505,5.8823529
34.254798,5.8823529
34.378314,5.8823529
34.502052,5.8823529
34.626012,5.8823529
34.750194,5.8823529
34.874599,5.8823529
34.999226,5.8823529
35.124075,5.8823529
35.249147,5.8823529
35.374441,5.8823529
35.499957,5.8823529
35.625695,5.8823529
35.751656,5.8784314
35.877839,5.8666667
36.004244,5.8705882
36.130872,5.8705882
36.257721,5.854902
36.384794,5.8470588
36.512088,5.8509804
36.639605,5.8470588
36.767344,5.854902
36.895305,5.8666667
37.023489,5.8745098
37.151894,5.8784314
37.280523,5.8823529
37.409373,5.8823529
37.538446,5.8823529
37.667741,5.8784314
37.797258,5.8823529
37.926997,5.8784314
38.056959,5.8784314
38.187143,5.8784314
38.31755,5.8705882
38.448178,5.8784314
38.579029,5.8784314
38.710103,5.8705882
38.841398,5.8666667
38.972916,5.8588235
39.104656,5.8627451
39.236619,5.8627451
39.368803,5.8588235
39.50121,5.8509804
39.63384,5.8509804
39.766691,5.8509804
39.899765,5.8666667
40.033061,5.8705882
40.166579,5.8745098
40.30032,5.8666667
40.434283,5.8705882
40.568468,5.8705882
40.702876,5.8784314
40.837506,5.8784314
40.972358,5.8784314
41.107432,5.8745098
41.242729,5.8784314
41.378248,5.8745098
41.513989,5.8745098
41.649953,5.8745098
41.786138,5.8784314
41.922546,5.8705882
42.059177,5.8705882
42.196029,5.8784314
42.333104,5.8823529
42.470402,5.8745098
42.607921,5.8666667
42.745663,5.8588235
42.883627,5.8392157
43.021813,5.8313725
43.160222,5.8392157
43.298853,5.8470588
43.437706,5.8470588
43.576782,5.8666667
43.71608,5.8705882
43.8556,5.8745098
43.995342,5.8745098
44.135307,5.8745098
44.275494,5.8705882
44.415903,5.8745098
44.556534,5.8784314
44.697388,5.8823529
44.838464,5.8823529
44.979763,5.8745098
45.121283,5.8745098
45.263026,5.8784314
45.404992,5.8823529
45.547179,5.8823529
45.689589,5.8784314
45.832221,5.8823529
45.975075,5.8745098
46.118152,5.8705882
46.261451,5.8745098
46.404972,5.8666667
46.548716,5.8627451
46.692681,5.8666667
46.836869,5.8705882
46.98128,5.8666667
47.125912,5.8666667
47.270767,5.8705882
47.415845,5.8666667
47.561144,5.8666667
47.706666,5.8823529
47.85241,5.8823529
47.998376,5.8823529
48.144565,5.8823529
48.290976,5.8823529
48.437609,5.8823529
48.584465,5.8823529
48.731542,5.8823529
48.878842,5.8784314
49.026365,5.8823529
49.174109,5.8823529
49.322076,5.8784314
49.470265,5.8705882
49.618677,5.8705882
49.767311,5.8705882
49.916167,5.8666667
50.065245,5.8745098
50.214546,5.8588235
50.364069,5.8627451
50.513814,5.8627451
50.663781,5.8627451
50.813971,5.8666667
50.964383,5.854902
51.115017,5.8588235
51.265874,5.8705882
51.416953,5.8705882
51.568254,5.8705882
51.719778,5.8666667
51.871523,5.8745098
52.023491,5.8745098
52.175682,5.8784314
52.328094,5.8745098
52.480729,5.8784314
52.633587,5.8823529
52.786666,5.8784314
52.939968,5.8627451
53.093492,5.8666667
53.247238,5.8784314
53.401207,5.8745098
53.555398,5.8627451
53.709811,5.8705882
53.864446,5.8666667
54.019304,5.8627451
54.174384,5.8627451
54.329686,5.8666667
54.485211,5.8588235
54.640958,5.8588235
54.796927,5.8666667
54.953119,5.8745098
55.109532,5.9215686
55.266168,5.8823529
55.423027,5.8784314
55.580107,5.8745098
55.73741,5.8784314
55.894935,5.8784314
56.052683,5.8784314
56.210652,5.8784314
56.368844,5.8823529
56.527259,5.8823529
56.685895,5.8823529
56.844754,5.8823529
57.003835,5.8823529
57.163139,5.8784314
57.322665,5.8823529
57.482413,5.8784314
57.642383,5.8823529
57.802576,5.8784314
57.96299,5.8784314
